Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000105122	13.743876843170378	-0.5062828938651378	0.21795005238722304	0.0032125676516609972	0.010727345784201342	TRUE
ENSG00000165028	15.711469893734545	-0.5064070998450567	0.09818498849155165	4.6736992884323316e-8	3.847827722405279e-7	TRUE
ENSG00000239482	2.0915236677730937	-0.5071150497557436	0.28736367710337324	0.009602142411815055	0.028434602889430432	TRUE
ENSG00000223891	118.0597259904355	-0.5081083075795383	0.062320133245732004	7.941501563550462e-17	2.476418479070742e-15	TRUE
ENSG00000277744	4.260462460967646	-0.5084272903596627	0.16180186612968547	2.8391672210081973e-4	0.0011953531336032384	TRUE
ENSG00000124257	32.77145743945995	-0.5085253371566297	0.09823080569480712	4.61709650864339e-8	3.807326533683951e-7	TRUE
ENSG00000230533	6.43307254053104	-0.5087518962135715	0.12299150282419208	6.378711428306308e-6	3.6544256443774935e-5	TRUE
ENSG00000166863	19.84112227869979	-0.5091778697586464	0.07979506100811895	3.491981266226705e-11	4.668390147538771e-10	TRUE
ENSG00000138653	8.430306099162891	-0.5094477807894061	0.14494089749609718	7.773802727496382e-5	3.633761344060752e-4	TRUE
ENSG00000269814	9.11991122464337	-0.5114667823731537	0.10628255466898175	2.686899451764071e-7	1.93986741818145e-6	TRUE
ENSG00000215386	41.753361836506954	-0.5119644528598153	0.24403603262857512	0.0056771144234441275	0.017819869913315033	TRUE
ENSG00000164363	1.3558575686616887	-0.5135016206074577	0.36117539933942344	0.015096283155199385	0.04237017975672837	TRUE
ENSG00000095383	20.761537679050793	-0.5142780081290907	0.088084833299138	1.0162306481236962e-9	1.080796626802085e-8	TRUE
ENSG00000119950	404.9835576946571	-0.5143746320325027	0.10009791441442521	6.161525667801655e-8	4.958358973822848e-7	TRUE
ENSG00000273213	9.68898354266231	-0.5145245234854616	0.1321390156207526	1.7706673681524953e-5	9.332779081985307e-5	TRUE
ENSG00000135525	90.70965440418435	-0.5155967250249931	0.10657778157382979	2.7384958975612045e-7	1.9748990201469308e-6	TRUE
ENSG00000280157	4.789979688928212	-0.515934331710292	0.15585447363356766	1.511099567501272e-4	6.700207659524622e-4	TRUE
ENSG00000196189	256.6777626657584	-0.5164883382700853	0.07258048512435046	4.781633392208658e-13	8.597905529237331e-12	TRUE
ENSG00000163576	4.233241783766062	-0.5165594322148185	0.21726866246246118	0.0024334487416168803	0.008357052314333832	TRUE
ENSG00000196990	135.48518614598234	-0.5171912345082648	0.16933748630996348	4.2224904374935535e-4	0.0017083434386930697	TRUE
ENSG00000265393	4.621211298849606	-0.5176782393952161	0.1643799647251517	2.536629883595979e-4	0.001079296321559839	TRUE
ENSG00000243709	8.079480001920215	-0.5177227681129742	0.12474524230585918	6.2139806142317706e-6	3.567208040274472e-5	TRUE
